id,name,data,length,alias,language,imdb,star,cnumber,region
30364974,新西游记 第六季 신서유기 6,['2018-10-28(韩国)'],[],['新西游记 6'],['韩语'],[],['9.7'],['19086'],['韩国']
30263969,纯真年代,['2018-08-24(中国大陆)'],['95'],['The Innocence of Childhood'],['汉语普通话'],[],['6.0'],['870'],['中国大陆']
30183825,土司遗城海龙屯,['2018-03-28(中国大陆)'],[],['海龙屯 / Hailongtun Tusi Fortress'],['汉语普通话'],['https://www.imdb.com/title/tt8601228'],['8.4'],['2305'],['中国大陆']
26163945,皇甫神医,['2018-12-12(中国大陆)'],[],['金针传奇 / 皇甫谧传奇'],['汉语普通话'],[],[''],[],['中国大陆']
30194395,边缘团地 限界団地,['2018-06-02(日本)'],[],['Genkai Danchi'],['日语'],[],['6.3'],['266'],['日本']
30370915,特战英雄榜,['2018-09-25(中国大陆)'],[],[],['汉语普通话'],[],[''],[],['中国大陆']
27133283,斯卡堡 Scarborough,"['2018-10-13(华沙电影节)', '2019-09-06(英国)']",['84'],['错爱(港) / 情陷斯卡布羅(台)'],['英语'],['https://www.imdb.com/title/tt6945932'],[''],[],['英国']
28511336,嗜血追凶,['2018-01-21(中国大陆)'],['62'],[],['汉语普通话'],[],[''],[],['中国大陆']
30392990,鬼眨眼 Butterfly Kisses,['2018-10-23(美国)'],['91'],[],['英语'],['https://www.imdb.com/title/tt5792468'],['6.3'],['587'],['美国']
27603669,为你写诗,['2018-10-26(中国大陆)'],['105'],['酸菜泡菜配 / Crazy Little Thing'],['汉语普通话'],[],['3.8'],['2881'],['中国大陆']
26959519,痼习之地 The Land of Steady Habits,"['2018-09-12(多伦多电影节)', '2018-09-14(美国)']",[],['出走(台) / 变节记(港)'],['英语'],['https://www.imdb.com/title/tt6485928'],['6.3'],['276'],['美国']
30258055,冬京都大原 维尼夏的田园生活 2018冬～京都 大原 ベニシアの手づくり暮らし～,['2018-04-25(日本)'],['49'],[],['日语'],[],[''],[],['日本']
33381264,回家 - 在家里 Go Home - A casa loro,"['2018-10-31(意大利的里雅斯特科幻电影节)', '2019-04-15(意大利)']",['84'],[],['意大利语 / 英语 / 阿拉伯语 / 法语 / 沃洛夫语'],['https://www.imdb.com/title/tt8274978'],[''],[],['意大利']
30320844,三分熟 Medium Rare,[],['5'],[],[],[],[''],[],['美国']
30416607,灵魂生死线 Ánimas,['2018-10-04(西班牙)'],['83'],[],['西班牙语'],['https://www.imdb.com/title/tt3954646'],['4.4'],['95'],['西班牙 / 比利时']
27017321,白鸟谷,"['2018-04-26(中国大陆)', '2017-06(安锡动画电影节)']",['15'],['Valley of White Birds'],[],[],['7.4'],['1867'],['中国大陆']
26972952,少年追梦情 Teen Spirit,"['2018-09-07(多伦多电影节)', '2019-04-19(美国)']",['93'],['青少年精神 / 魔力女声(台)'],['英语'],['https://www.imdb.com/title/tt6483364'],['5.4'],['701'],['美国 / 英国']
30370903,春暖花又开,"['2018-08-13(中国大陆)', '2019-03-10(中国大陆卫视)']",[],['窗花'],['汉语普通话'],[],['4.0'],['526'],['中国大陆']
27059058,加斯顿 Gaston,['2018-04-04(法国)'],['85'],['Gaston La Gaffe'],['法语'],['https://www.imdb.com/title/tt6995612'],[''],[],['法国 / 中国大陆']
30284896,青春派之舞力奇迹,['2018-08-02(中国大陆)'],[],[],['汉语普通话'],[],[''],[],['中国大陆']
33415890,峡谷回音 Echo In the Canyon,"['2018-09-20(洛杉矶电影节)', '2019-05-24(美国)']",['82'],[],['英语'],['https://www.imdb.com/title/tt8884430'],[''],[],['美国']
30192094,爱上冒牌空少,['2018-04-07(中国大陆)'],['62'],[],['汉语普通话'],[],[''],[],['中国大陆']
27030950,漫长的沉默之路 The Long Dumb Road,['2018-01-26(圣丹斯电影节)'],['90'],['漫长愚蠢之路 / 笨笨长路'],['英语'],['https://www.imdb.com/title/tt4712076'],['6.2'],['172'],['美国']
27663835,故乡漫游 日本的古老传说 第二季 ふるさとめぐり 日本の昔ばなし,['2018-01(日本)'],[],[],['日语'],[],[''],[],['日本']
30243311,亲爱的英雄之魅力天鹅 My Hero วีรบุรุษ...สุดที่รัก（มนตราลายหงส์ ),['2018-06-15(泰国)'],[],['我的英雄之圆梦乐民'],['泰语'],[],[''],[],['泰国']
30334833,席琳的召唤 Son Çikis,['2018-10-27(东京电影节)'],['93'],["Siren's Call"],['土耳其语'],['https://www.imdb.com/title/tt7447304'],[''],[],['土耳其']
30283653,蝠鲼 กระเบนราหู,['2018-09-07(威尼斯电影节)'],['105'],['幻海异色(港) / 边境幻梦(台) / 偷换人生 / 曼塔射线 / Manta Ray / Kraben Rahu'],['泰语'],['https://www.imdb.com/title/tt8837018'],['6.1'],['310'],['泰国 / 法国 / 中国大陆']
27611509,卜萨巴的恋爱伎俩 เล่ห์รักบุษบา,['2018-10-28(泰国)'],[],['花恋心机'],['泰语'],[],[''],[],['泰国']
27194980,极限挑战 第四季,['2018-04-29(中国大陆)'],[],['Go Fighting Season 4'],['汉语普通话'],[],['7.6'],['45378'],['中国大陆']
30397632,Right Place Wrong Tim,[],['7'],[],['英语'],['https://www.imdb.com/title/tt8877172'],[''],[],['英国']
27193037,敞开的房子 The Open House,['2018-01-19(美国)'],['94'],['房门未关'],['英语'],['https://www.imdb.com/title/tt7608028'],['3.5'],['723'],['美国']
24852545,爱情公寓,['2018-08-10(中国大陆)'],['117'],['爱情公寓电影版 / 穿越时空的守护者 / 终于，又双叒叕回来搞事情了 / 新次元冒险家 / 盗墓笔记同人版 / 爱情公墓(豆友译名) / Apartment of Love / Ipartment'],['汉语普通话'],['https://www.imdb.com/title/tt8893870'],['3.1'],['209501'],['中国大陆']
30253664,穿甲弹,['2018-11-22(中国大陆)'],[],[],['汉语普通话'],[],[''],[],['中国大陆']
30194397,透明的摇篮 透明なゆりかご,['2018-07-20(日本)'],[],[],['日语'],['https://www.imdb.com/title/tt9196870'],['8.4'],['332'],['日本']
30382559,Chasing the Blues,['2018-10-05(美国)'],['77'],[],['英语'],['https://www.imdb.com/title/tt6159520'],[''],[],['美国']
