MovieId,CrewId
30276387,25a45cbb-4689-42a9-ae8a-7c00a27cb38c
30276387,79bc617a-630f-498f-860d-e803370effb3
30276387,f65333df-b258-43e1-a18b-a49f0a31700e
30276387,4704e490-4f83-42b5-a5b9-e72b56a461b5
30276387,3d97df0f-6769-4b37-b0cd-442b4a26b6b8
30256057,c0fc74c5-9481-4ceb-88d1-e9da719e833e
30256057,1395340
30256057,a52f0278-9b7d-4928-b1dd-cf6e85c495a5
30352543,1349991
30231972,92b722ad-32ef-43c9-872d-2cd38880e9e6
30231972,28b7cc1c-da48-4114-baa4-398ce3cdbbb7
30231972,25b09b93-8407-4f49-b71a-1c760bd0b8d4
30231972,c20587cb-b267-4dda-aa93-4bfd5b9728fe
30231972,53a10eb4-fab0-480b-8c5f-c4aa94643104
30212173,5f71d201-7883-418d-b079-acf3423df093
30212173,1360223
30286060,9d337c5b-2f8d-438b-a6f3-bf45602dc0d4
30286060,1807568d-78be-4fbc-9092-e2c580f8b45c
30286060,924537fe-aa63-4e56-beaf-aa5eaea70ef8
30286060,1333338
30286060,1054163
30168101,5e3ceeed-f4e9-4a95-b0ed-98afbc97a72f
30168101,ef911ebd-6186-46a1-b7f8-e754494852c7
30168101,08b5459b-b970-4871-868f-28aa59f7f397
30168101,a487fe0a-61ec-4b96-935a-0b2dada7abf4
30168101,bf3cf70f-6cd6-4f2e-954c-7f2a20bfb46f
30168101,fa9c679e-2e66-4abd-8e04-06d27045b822
30168101,bf258e99-602c-4570-8d8d-7733b7ae93c5
30168101,dd5d0510-286f-4e81-a2ee-0846d726d332
30168101,4001bbea-7eac-47ed-a26b-df3e441f1116
30168101,215d7ee9-fcf3-4476-8613-e73697a965c1
30168101,618cd918-8652-4e13-8a93-47afdc0b6f10
30255238,1321619
30255238,1747197e-9123-4c9e-8ba5-b0ae04c1fb97
30255238,1326226
30255238,e5ab0a51-2b0b-4f26-b211-bec5e00ee72c
30255238,8a6a34fd-1bed-41f4-adce-fc2ef1bee9b7
30359364,9366c9cb-d7af-491b-a693-bc26e1804015
27601045,a769975b-d64d-4a42-a30f-8337fda03532
27601045,7dece1f6-924e-4514-b192-42a4948479b5
27601045,ef5a3e1c-f61c-4ae8-88ea-b3d5c7edcc81
27601045,1316825
27601045,1318116
27601045,1330037
27601045,0ed97fe0-7d2d-4a4b-ac5f-e40b18576c39
30396273,0ff04a08-6885-4041-9900-9a5e14836617
30396273,1337493
30396273,1319900
30396273,1316525
30396273,1372211
30396273,1364692
26951618,1394901
26951618,1394900
26951618,1339428
26951618,1348994
26951618,1314635
26951618,1377898
26951618,1217935
26951618,1051029
26951618,1317013
26951618,1343833
26951618,1350259
26951618,1322208
26951618,1327490
26951618,1375772
26951618,1376009
26951618,1378524
26951618,1390643
26951618,1375288
26951618,1382527
26951618,1389036
26951618,1385176
30167540,1364188
30167540,1018107
30167540,1018107
30423877,0fbfa945-a53f-4ec4-b892-73f95a56c3a8
30135548,300adf8f-eca5-458d-b804-f483ac784f90
30135548,e6343901-6bd5-4b1f-9a19-237ddb6d22a3
30135548,53ca7927-b2b0-41fc-8a9c-9c2048e26a4f
34453867,1395969
27165968,1398262
27165968,1398262
27165968,1366111
27165968,1054455
27165968,1031240
27165968,1044709
27165968,1078960
27165968,1017966
27165968,1222311
27165968,1162789
27165968,1013888
27165968,1398264
27165968,1040719
27165968,1120547
27165968,1167439
27165968,1171011
27165968,1398265
30358052,1404160
30358052,1404160
30358052,1406079
30358052,c4c46dbf-8d4a-417a-bf88-a0797641bfd8
30370906,2331ccef-507e-4232-a961-92804c2f5ead
30370906,e9ad81d8-aea7-454b-a39c-297666ebfc88
