ID,name,type
c50803d9-2498-4457-9e1e-6ddeccb58bcd,Michael Kirk,0
c7c9daaa-e763-4273-9165-fdda8b9f09b7,"Michael Kirk, Mike Wiser",1
b7adaaf3-d9f7-489c-9905-cddbae9f8ceb,Priyanka Boghani,2
6ee9c414-9f78-4c23-b5b8-83a81d35b04f,Sarah Childress,2
4d70f77a-ba7e-4556-aef5-54eef66ff8bc,Jim Gilmore,2
1402773,丹尼尔·珀西瓦尔,0
1036650,菲利普·K·迪克,1
1041735,弗兰克·斯伯特尼,1
1017927,艾莉克莎·黛瓦洛斯,2
1017958,DJ·考尔斯,2
1089839,乔尔·德·拉·冯特,2
1149250,田川洋行,2
1041126,卢夫斯·塞维尔,2
1000209,鲁珀特·伊文斯,2
1269408,卢克·克莱恩坦克,2
1212229,谢拉赫·霍斯达尔,2
1344856,布雷南·布朗,2
1251111,阿诺德·陈,2
1316911,贝拉·希思科特,2
1004968,奎恩·罗德,2
3c9ac87e-0537-48ec-9dba-16b2f2104b1b,Ekta Mittal,0
1320263,尹钟彬,0
1320263,尹钟彬,1
1051046,黄政民,2
1321576,李星民,2
1322203,赵震雄,2
1041047,朱智勋,2
1332686,源孝志,0
1365087,蓬莱龙太,1
1025644,谷崎润一郎,1
1032915,中山美穗,2
1037678,高冈早纪,2
1000823,伊藤步,2
1274749,中村友理,2
1275370,福士诚治,2
1307243,柄本佑,2
1315885,甲本雅裕,2
1314937,神尾佑,2
1015108,水桥研二,2
1011473,长塚京三,2
1037741,松尾铃木,2
1008604,石黑贤,2
1275807,室毅,2
1382011,中野英明,0
759fe2cf-b0ab-4862-a08c-e5070b775735,久尾歩,1
1274697,寺岛拓笃,2
1052297,梶裕贵,2
1275200,下野纮,2
1316920,堀江一真,2
1015315,柿原彻也,2
1194806,津田健次郎,2
1330095,布莱恩·A·米勒,0
4dcbaa2b-7b89-4c85-bca4-c672de111d9c,Mike Maples,1
1047996,西尔维斯特·史泰龙,2
cd103820-49f9-4c50-8135-1f7ad9e28bab,CHAO,0
1398046,伊凡·埃尔,0
1398046,伊凡·埃尔,1
1416238,基斯莱·基斯莱,1
1416239,吉蒂卡·维迪亚·奥利安,2
1416240,萨洛尼·巴特拉,2
1416241,维卡斯·舒克拉,2
1416242,莫希·查乌汗,2
1416243,希曼什·科赫利,2
1416244,高里·查克拉波蒂,2
1314402,林子聪,0
1274567,陈浩民,2
1314402,林子聪,2
1375489,钟久夫,2
1350958,邹文正,2
1229775,陈国坤,2
fc55d7ab-60b1-42a1-9c42-d6503c9d5568,叶静涵,2
1317182,金刚,2
1274331,王晶,2
1108968,罗家英,2
1354115,杨能,2
1286762,王男栿,0
c622fec9-8fd0-45e3-a877-0a8dcd644584,Aneil Karia,0
1339956,丹尼尔·英格斯,2
1206041,强尼·弗林,2
1314886,安东尼娅·托马斯,2
1362319,全炫茂,2
1364926,朴正洙,2
1357493,林娜琏,2
1417439,李民浩,2
1349004,金亚荣,2
5c2226b3-3f50-4176-ae07-bf003e2c1ca7,崔民赫,2
6f9b0b8c-b88b-461e-9c37-fc5035148cef,尹惠英,2
0bc7ac6b-bf07-4420-8b28-cb60c48c5d48,加姆斯特,2
f45ffae4-6e05-472b-a291-587575968a8b,姜胜淏,2
2c2dba1b-0a7e-4e79-be3a-32dba31ca827,车尚恩,2
1400811,李珠园,2
1388717,夫胜宽,2
5ad94bac-28b1-45ff-bd15-7ef94e5ffe78,尹汝春,2
58769a1c-9c06-4935-90a5-826a98830c7e,梁相国,2
1275030,徐智锡,2
1386062,申东熙,2
1375504,梁世亨,2
1376651,河成云,2
1376650,裴珍映,2
1408038,全圆佑,2
1388716,金珉奎,2
1412206,尹净汉,2
1412207,李知勋,2
1408039,李硕珉,2
1412279,权顺荣,2
1412208,李灿,2
e6566518-fda7-4dbb-b3d6-961528ae6c54,郑泽运,2
a83d0143-c8e8-4934-a5fd-fce1fe5d60b1,李在焕,2
1c994713-29ed-453d-a8b2-9bcd5772adca,金元植,2
1360542,裴柱现,2
1387493,姜涩琪,2
1387457,孙胜完,2
1368634,朴秀荣,2
1387459,金艺琳,2
1419037,赵美延,2
1419038,米妮·妮查·约塔拉里克,2
1419040,徐穗珍,2
1400907,田小娟,2
1400906,宋雨琦,2
1419039,叶舒华,2
1401935,金旼祉,2
1402033,金宝罗,2
1402030,李始娟,2
1402031,韩东,2
1402032,金裕贤,2
1402034,李愈彬,2
1402035,李佳泫,2
1408078,表慧美,2
1405057,倞利,2
1366427,金素晶,2
1366428,郑艺琳,2
1366429,丁恩妃,2
1366426,崔俞娜,2
1366430,黄恩菲,2
